PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,data_quality_score,lead_time_days,total_original_value,total_negotiated_value,cost_savings,savings_percentage,defect_rate,quality_score
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0.0,Yes,100,8.0,23672.879999999997,20944.559999999998,2728.3199999999997,11.53,0.0,100.0
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,100,10.0,59333.88,56346.060000000005,2987.8199999999924,5.04,15.57,84.43
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,100,20.0,86914.1,83956.6,2957.5,3.4,4.51,95.49
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,100,19.0,134198.4,128378.87999999999,5819.520000000004,4.34,8.33,91.67
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,100,12.0,75602.59999999999,71425.4,4177.199999999997,5.53,14.49,85.51
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,100,12.0,79245.45,72787.65,6457.800000000003,8.15,3.41,96.59
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,100,11.0,91130.37999999999,84832.68000000001,6297.6999999999825,6.91,5.41,94.59
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,100,14.0,40401.42,35861.32,4540.0999999999985,11.24,2.01,97.99
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,100,4.0,74153.84,67334.32,6819.5199999999895,9.2,5.27,94.73
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,100,12.0,13144.77,12004.2,1140.5699999999997,8.68,4.68,95.32
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,100,15.0,392450.0,368400.00000000006,24049.99999999994,6.13,0.36,99.64
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,100,14.0,444799.99999999994,432900.0,11899.999999999942,2.68,2.3,97.7
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,100,17.0,433700.0,374300.0,59400.0,13.7,1.02,98.98
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,0.0,Yes,100,,91500.0,84400.0,7100.0,7.76,0.0,100.0
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,100,18.0,272500.0,242250.0,30250.0,11.1,0.44,99.56
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0.0,Yes,100,15.0,77050.0,75600.0,1450.0,1.88,0.0,100.0
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,100,19.0,72186.42,65089.770000000004,7096.649999999994,9.83,14.66,85.34
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0.0,Yes,100,8.0,47413.079999999994,46611.81,801.2699999999968,1.69,0.0,100.0
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,100,3.0,169409.61000000002,151761.69,17647.920000000013,10.42,4.55,95.45
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0.0,No,100,15.0,8233.2,7000.2,1233.000000000001,14.98,0.0,100.0
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,100,15.0,35636.9,34162.15,1474.75,4.14,2.82,97.18
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0.0,Yes,100,13.0,34453.26,32822.5,1630.760000000002,4.73,0.0,100.0
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,100,16.0,66248.91,63087.57,3161.340000000004,4.77,3.54,96.46
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,100,6.0,28504.29,26059.83,2444.459999999999,8.58,10.69,89.31
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,100,12.0,33334.5,31440.85,1893.6500000000015,5.68,10.29,89.71000000000001
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,100,11.0,28476.05,25635.879999999997,2840.170000000002,9.97,0.0,100.0
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,100,20.0,66861.0,57421.799999999996,9439.200000000004,14.12,1.99,98.01
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,100,9.0,7451.549999999999,6890.4,561.1499999999996,7.53,1.84,98.16
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,100,17.0,114178.90000000001,100529.55,13649.350000000006,11.95,14.78,85.22
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,100,,80952.75,73676.55,7276.199999999997,8.99,2.99,97.01
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,100,14.0,5900.6,5189.92,710.6800000000003,12.04,0.0,100.0
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,100,8.0,21767.760000000002,19324.44,2443.3200000000033,11.22,2.11,97.89
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,100,16.0,51546.43,49790.38,1756.050000000003,3.41,3.73,96.27
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,100,1.0,67560.77,60625.770000000004,6935.0,10.26,1.95,98.05
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,100,8.0,3293.69,3065.78,227.90999999999985,6.92,0.0,100.0
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,100,8.0,26494.460000000003,24619.039999999997,1875.4200000000055,7.08,2.98,97.02
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,100,19.0,79333.38,72821.89,6511.490000000005,8.21,2.26,97.74
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,100,18.0,91696.26,82355.40000000001,9340.859999999986,10.19,10.38,89.62
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,100,14.0,131586.02,124429.1,7156.919999999984,5.44,3.06,96.94
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,100,,24250.72,20776.6,3474.1200000000026,14.33,2.67,97.33
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,100,12.0,20126.960000000003,17387.52,2739.4400000000023,13.61,8.48,91.52
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,100,9.0,45438.4,43607.200000000004,1831.199999999997,4.03,6.07,93.93
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,100,8.0,112091.84999999999,102492.0,9599.849999999991,8.56,4.84,95.16
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,100,7.0,75746.09999999999,65708.58,10037.51999999999,13.25,3.1,96.9
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,100,18.0,72705.43,70525.84,2179.5899999999965,3.0,16.42,83.58
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,100,,21637.75,19731.25,1906.5,8.81,1.46,98.54
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,100,7.0,110933.12000000001,94303.36,16629.76000000001,14.99,10.29,89.71000000000001
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,100,16.0,2738.94,2695.92,43.01999999999998,1.57,1.67,98.33
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,100,19.0,52807.079999999994,46382.420000000006,6424.659999999989,12.17,16.58,83.42
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,100,,11923.199999999999,11282.88,640.3199999999997,5.37,2.45,97.55
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,100,10.0,22717.92,19727.13,2990.7899999999972,13.16,0.0,100.0
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,100,,12845.88,12087.0,758.8799999999992,5.91,16.67,83.33
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,100,10.0,141360.97,123293.73999999999,18067.23000000001,12.78,2.46,97.54
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,100,6.0,127788.8,125312.4,2476.4000000000087,1.94,15.98,84.02
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,100,18.0,89727.20999999999,79704.84000000001,10022.36999999998,11.17,10.33,89.67
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,100,2.0,88928.14,83739.05,5189.0899999999965,5.84,3.41,96.59
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,100,,76264.73999999999,67491.06,8773.679999999993,11.5,13.05,86.95
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0.0,Yes,100,5.0,47305.159999999996,42669.759999999995,4635.4000000000015,9.8,0.0,100.0
