PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,data_quality_score,lead_time_days,total_original_value,total_negotiated_value,cost_savings,savings_percentage,defect_rate,quality_score,order_year,order_month,order_quarter,order_day_of_week,order_day_of_month,order_week_of_year,order_month_name,order_day_name,order_season,order_is_weekend,order_is_month_end,order_is_quarter_end,lead_time_category,lead_time_vs_median,is_fast_delivery,is_slow_delivery,supplier_total_orders,supplier_total_quantity,supplier_avg_order_quantity,supplier_total_spend,supplier_avg_order_value,supplier_avg_lead_time,supplier_lead_time_consistency,supplier_avg_defect_rate,supplier_quality_consistency,supplier_avg_savings_rate,supplier_savings_consistency,supplier_delivery_score,supplier_quality_score,supplier_overall_score,supplier_tier,price_change_absolute,price_change_ratio,negotiation_effectiveness,order_size_category,is_high_value_order,defect_severity,is_perfect_order,compliance_score,delivery_risk,quality_risk,compliance_risk,composite_risk_score,risk_level
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0.0,Yes,100,8.0,23672.879999999997,20944.56,2728.3199999999997,11.53,0.0,100.0,2023,10,4,1,17,42,October,Tuesday,Fall,False,False,False,Standard,-3.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,2.3200000000000003,0.88474913065077,Successful,Small,False,,True,,0,0,0,0,Low
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,100,10.0,59333.88,56346.060000000005,2987.8199999999924,5.04,15.57,84.43,2022,4,2,0,25,17,April,Monday,Spring,False,False,False,Standard,-1.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,1.9799999999999969,0.9496439471007122,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,100,20.0,86914.1,83956.6,2957.5,3.4,4.51,95.49,2022,1,1,2,26,4,January,Wednesday,Winter,False,False,False,Extended,9.0,False,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,3.25,0.96597214951314,Successful,Large,False,Good,False,,1,0,0,1,Medium
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,100,19.0,134198.4,128378.88,5819.520000000004,4.34,8.33,91.67,2022,10,4,6,9,40,October,Sunday,Fall,True,False,False,Extended,8.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,4.329999999999998,0.9566349524286429,Successful,Large,False,Poor,False,,0,1,0,1,Medium
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,100,12.0,75602.59999999999,71425.4,4177.199999999997,5.53,14.49,85.51,2022,9,3,3,8,36,September,Thursday,Fall,False,False,True,Standard,1.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,3.539999999999992,0.9447479319494304,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,100,12.0,79245.45,72787.65,6457.800000000003,8.15,3.41,96.59,2022,8,3,2,17,33,August,Wednesday,Summer,False,False,False,Standard,1.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,5.6399999999999935,0.9185088859991332,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,100,11.0,91130.38,84832.68000000001,6297.6999999999825,6.91,5.41,94.59,2022,5,2,0,23,21,May,Monday,Spring,False,False,False,Standard,0.0,False,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,3.549999999999997,0.9308935176172864,Successful,Large,False,Poor,False,,0,1,0,1,Medium
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,100,14.0,40401.42,35861.32,4540.0999999999985,11.24,2.01,97.99,2022,4,2,4,15,15,April,Friday,Spring,False,False,False,Standard,3.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,4.149999999999999,0.8876252369347415,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,100,4.0,74153.84,67334.32,6819.5199999999895,9.2,5.27,94.73,2023,11,4,4,24,47,November,Friday,Fall,False,False,False,Express,-7.0,True,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,4.039999999999999,0.9080355110402913,Successful,Medium,False,Poor,False,,0,1,0,1,Medium
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,100,12.0,13144.77,12004.2,1140.5699999999997,8.68,4.68,95.32,2023,7,3,3,13,28,July,Thursday,Summer,False,False,False,Standard,1.0,False,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,6.670000000000002,0.9132301287888643,Successful,Small,False,Good,False,,0,0,0,0,Low
